Response	SemRelation	Possessor	Sibilant
Norman	NA	NA	no
Norman	nonprop	Anim	no
Norman	prop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	prop	Inanim	no
Norman	prop	Anim	yes
Norman	nonprop	Anim	yes
Norman	nonprop	Inanim	yes
Norman	nonprop	Inanim	yes
Norman	nonprop	Inanim	no
Norman	nonprop	Anim	yes
Norman	nonprop	Inanim	yes
Norman	nonprop	Inanim	yes
Norman	nonprop	Inanim	no
Norman	prop	Inanim	yes
Norman	nonprop	Inanim	no
Norman	prop	Inanim	no
Norman	prop	Anim	yes
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	yes
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Anim	yes
Norman	nonprop	Inanim	yes
Norman	nonprop	Anim	no
Norman	nonprop	Inanim	no
Norman	prop	Inanim	no
Norman	prop	Inanim	yes
Norman	prop	Inanim	yes
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	prop	Anim	yes
Norman	prop	Anim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	prop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Anim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Anim	no
Norman	nonprop	Inanim	yes
Norman	prop	Inanim	yes
Norman	prop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	yes
Norman	nonprop	Anim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	prop	Anim	no
Norman	prop	Anim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	no
Norman	nonprop	Inanim	yes
Saxon	prop	Anim	no
Saxon	prop	Inanim	no
Saxon	prop	Anim	no
Saxon	nonprop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	nonprop	Anim	no
Saxon	prop	Anim	no
Saxon	nonprop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Inanim	no
Saxon	prop	Inanim	no
Saxon	prop	Anim	no
Saxon	nonprop	Anim	no
Saxon	prop	Inanim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	nonprop	Anim	no
Saxon	nonprop	Anim	no
Saxon	prop	Anim	yes
Saxon	prop	Anim	yes
Saxon	prop	Anim	yes
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	nonprop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Inanim	yes
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	nonprop	Inanim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Inanim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	no
Saxon	prop	Anim	yes
Saxon	prop	Anim	no
