response	possessor
Norman	NA
Norman	Anim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Anim
Norman	Anim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Anim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Anim
Norman	NA
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Anim
Norman	NA
Norman	NA
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	NA
Norman	NA
Norman	NA
Norman	NA
Norman	NA
Norman	NA
Norman	NA
Norman	NA
Norman	NA
Norman	NA
Norman	NA
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	NA
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Anim
Norman	NA
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Norman	Inanim
Saxon	Anim
Saxon	Inanim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Inanim
Saxon	Inanim
Saxon	Anim
Saxon	Anim
Saxon	Inanim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Inanim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
NA	NA
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Inanim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
Saxon	Anim
